H K L Icalc Imeasured Err
-3.759999999999999787e+00 0.000000000000000000e+00 2.750000000000000000e+01 1.341861504038679186e+03 1.088283900690148585e+03 1.542624083339813410e+02
-4.240000000000000213e+00 0.000000000000000000e+00 2.750000000000000000e+01 1.459705469106939290e+03 1.561575600591488183e+03 1.697045456447764025e+02
-3.759999999999999787e+00 0.000000000000000000e+00 2.850000000000000000e+01 6.170652282752899964e+01 -3.785958098642295226e+02 1.669021454981181591e+02
-4.240000000000000213e+00 0.000000000000000000e+00 2.850000000000000000e+01 1.361177506902153880e+02 -8.525621888801106252e+01 1.541747119240862958e+02
-3.759999999999999787e+00 0.000000000000000000e+00 2.950000000000000000e+01 4.508839270704783786e+01 5.222611920259078033e+01 1.488535288358156379e+02
-4.240000000000000213e+00 0.000000000000000000e+00 2.950000000000000000e+01 1.159339222909308376e+02 1.338763818411389366e+02 1.474288758605314626e+02
-2.759999999999999787e+00 0.000000000000000000e+00 2.150000000000000000e+01 7.221091833233381330e+00 2.009251160906860605e+02 1.522821958979446890e+02
-3.240000000000000213e+00 0.000000000000000000e+00 2.150000000000000000e+01 2.593478749681004274e+02 4.498895758102153195e+02 1.458666450049496461e+02
-2.759999999999999787e+00 0.000000000000000000e+00 2.250000000000000000e+01 2.681625166639016129e+02 1.136554229559260421e+01 1.395717151570295869e+02
-3.240000000000000213e+00 0.000000000000000000e+00 2.250000000000000000e+01 8.259176789464810327e+02 6.599314176971383858e+02 1.488075912672132404e+02
-2.759999999999999787e+00 0.000000000000000000e+00 2.350000000000000000e+01 8.866214694930328051e+02 1.079878068973011978e+03 1.413448243658040724e+02
-3.240000000000000213e+00 0.000000000000000000e+00 2.350000000000000000e+01 8.130887788746364322e+02 7.994692821986827767e+02 1.538292478691877250e+02
-2.759999999999999787e+00 0.000000000000000000e+00 2.450000000000000000e+01 1.168575801139666510e+03 1.006327686036762316e+03 1.568967427661422107e+02
